Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NumDiasPrecipitacao,PressaoMedia,TempMaximaMedia,TempMinimaMedia,UmidadeRelativaMedia
83851,30/09/2001,0,,,,,,,0,,,,
83851,31/10/2001,0,18,1.246624,3,,,216.4,8,,28.883871,15.758065,75.064516
83851,30/11/2001,0,18,1.511111,4,,,186.1,9,,29.74,18.426667,76375
83851,31/12/2001,0,18,1.634409,4,,,146.6,18,,28.658065,18.5,81.25
83851,31/01/2002,0,0,0.989247,4,,,137,17,,29.319355,19.296774,83.596774
83851,28/02/2002,0,0,1.607143,4,,,139.2,14,,28.071429,18.621429,84.732143
83851,31/03/2002,0,0,1.462366,6,,,229.2,10,,31.277419,19.719355,79.5
83851,30/04/2002,0,0,0.877778,3,,,251.5,3,,30.34,18.37,79.858333
83851,31/05/2002,0,0,1.095294,4,,,185.2,11,,25.767742,15.33871,82.913043
83851,30/06/2002,0,0,1.244444,3,,,231.2,1,,26.99,13.653333,79.65
83851,31/07/2002,0,9,1.274194,4,,,189,5,,23.716129,11.422581,80.483871
83851,31/08/2002,0,0,1.112074,4,,,221.5,5,,28.206452,14.93871,77.604839
83851,30/09/2002,0,14,1.25,3,,,160.7,6,,26.52,14.075862,73275
83851,31/10/2002,0,14,1.352887,4.11552,,,222,7,,32.364516,18.82,68.846774
83851,30/11/2002,0,14,1.300642,4,,,169.9,12,,29.583333,18.316667,75.783333
83851,31/12/2002,0,9,1.333333,4,,,198.4,12,,30.6,19.658621,75.58871
83851,31/01/2003,0,0,0.849462,2,,,109.6,18,,28.825806,19.887097,82.653226
83851,28/02/2003,0,5,1.083333,3,,,200.8,12,,32.22963,20.884615,74.357143
83851,31/03/2003,0,5,1.139785,3,,,178,10,,29.256667,18.841935,77
83851,30/04/2003,0,0,0.89,3,,,199.4,8,,27.976667,17.25,79.508333
83851,31/05/2003,0,0,0.978495,3,,,228.4,5,,24.945161,13.058065,78.766129
83851,30/06/2003,0,0,0.709366,3,,,218.7,4,,26.25,13.482759,77.333333
83851,31/07/2003,0,0,0.769768,3.08664,,,214.9,2,,25.351613,12.187097,72.862903
83851,31/08/2003,0,18,1.085517,5,,,206.7,9,,24.267742,11.535484,71.104839
83851,30/09/2003,0,18,1.230886,3,,,207.7,5,,27.21,14.053333,69.533333
83851,31/10/2003,0,18,1.058538,3,,,205.1,10,,28.606452,15.748387,71.927419
83851,30/11/2003,0,18,1.148736,4,,,161,14,,28.266667,17.25,75.058333
83851,31/12/2003,0,0,1.144249,3,,,184.7,16,,29.8,19.503226,75.991935
83851,31/01/2004,0,0,0.795699,3,,,148.6,14,,28.012903,18.616129,81.596774
83851,29/02/2004,0,0,0.987356,5.9,,,191.2,12,,28.917241,18.47931,80.577586
83851,31/03/2004,0,0,0.806452,3,,,201.3,7,,28.403226,17.509677,81.048387
83851,30/04/2004,0,0,0.621676,2.1,,,175.4,10,,28.153333,17.68,83625
83851,31/05/2004,0,0,0.784946,3,,,150.1,11,,23.429032,13.767742,85.677419
83851,30/06/2004,0,0,0.466667,3,,,149.9,8,,23.526667,12.036667,83975
83851,31/07/2004,0,0,0.770968,5.1,,,160.7,6,,22.906452,12.351613,81.983871
83851,31/08/2004,0,0,0.827957,3,,,245,1,,25.925806,12.009677,75.919355
83851,30/09/2004,0,0,0.844444,4,,,226.8,4,,30.613333,16.063333,69.65
83851,31/10/2004,0,0,1.005233,3,,,143.4,14,,26.629032,15.967742,74.33871
83851,30/11/2004,0,0,0.823333,3,,,182.4,13,,28.28,17.53,72.808333
83851,31/12/2004,0,0,0.683871,2.1,,,182.8,16,,28.754839,18.129032,75.104839
83851,31/01/2005,0,0,0.666667,3,,,116.2,17,,28.241935,20.109677,80.844828
83851,28/02/2005,0,18,0.845238,3,,,206.7,9,,30.067857,18.428571,72.25
83851,31/03/2005,0,0,0.818901,3.1,,,170.1,9,,29.387097,19.425806,76.524194
83851,30/04/2005,0,0,0.843021,2,,,202.5,4,,29.136667,18.736667,74.95
83851,31/05/2005,0,0,0.645161,2,,,189.2,4,,26.677419,15.254839,74.233871
83851,30/06/2005,0,0,0.533333,2,,,182.8,4,,25.693333,14.286667,76.783333
83851,31/07/2005,0,0,0.913978,3,,,190.7,4,,23.987097,12.319355,74.330645
83851,31/08/2005,0,0,0.806452,3,,,213.9,2,,27.403226,13.222581,67.056452
83851,30/09/2005,0,18,1.088889,3,,,129.8,12,,25.07,14.8,75.25
83851,31/10/2005,0,0,0.709677,2,,,126.9,16,,28.66129,18.216129,76.822581
83851,30/11/2005,0,18,1.122222,3,,,177,8,,28.396667,17.446667,72425
83851,31/12/2005,0,18,1.182796,3,,,186.5,11,,28.567742,17.987097,73.112903
83851,31/01/2006,0,0,0.623656,3,,,176.6,15,,30.525806,19.770968,73.370968
83851,28/02/2006,0,0,0.75,2,,,155.1,12,,29.753571,19.857143,77.080357
83851,31/03/2006,0,0,0.774194,2,,,192,12,,30.132258,20.148387,76.225806
83851,30/04/2006,0,0,0.744444,3,,,203.1,6,,27.326667,16.476667,74.833333
83851,31/05/2006,0,0,0.817204,3,,,199.6,2,,24.070968,12.532258,73.25
83851,30/06/2006,0,0,0.622222,3,,,206.8,2,,24.94,12.33,73.6
83851,31/07/2006,0,0,0.462366,2,,,218.5,6,,25.980645,12.077419,73.306452
83851,31/08/2006,0,0,0.752688,3,,,223.7,2,,27.325806,13.316129,64.862903
83851,30/09/2006,0,18,1.034483,3,,,194.7,7,,26.536667,14.296667,68.366667
83851,31/10/2006,0,18,0.924731,2,,,203.5,12,,28.619355,17.148387,72.120968
83851,30/11/2006,0,18,1.066667,3,,,178.4,11,,28.71,17.772414,72.724138
83851,31/12/2006,0,18,1.075269,3,,,185.7,17,,30.164516,19.964516,77.895161
83851,31/01/2007,0,0,0.656989,3,,,118.9,19,,28.593548,20.170968,80.758065
83851,28/02/2007,0,0,0.738095,2,,,180.9,10,,30.921429,19.853571,73.633929
83851,31/03/2007,0,0,0.462366,2,,,224.3,9,,31.780645,19.545161,71.169355
83851,30/04/2007,0,0,0.7,3,,,189.2,4,,29.203333,18.68,74.666667
83851,31/05/2007,0,0,0.763441,3,,,189.1,7,,24.73871,13.725806,76.209677
83851,30/06/2007,0,0,0.577778,3,,,210.5,4,,26.28,12.526667,73.758333
83851,31/07/2007,0,0,0.752688,4,,,164.8,8,,23.425806,11.377419,75.991935
83851,31/08/2007,0,18,1,3,,,211.5,0,,27.332258,13.222581,65.645161
83851,30/09/2007,0,0,0.955556,3,,,171.9,4,,29.553333,15.98,63.6
83851,31/10/2007,0,0,0.827957,3,,,173.4,11,,30.670968,17.525806,67.532258
83851,30/11/2007,0,18,1.1,2,,,164.2,11,,28.123333,17.32,74.216667
83851,31/12/2007,0,0,0.827957,3,,,190.3,12,,30.467742,18.729032,71.580645
83851,31/01/2008,0,0,0.72043,2,,,119,18,,28.06129,18.870968,80.024194
83851,29/02/2008,0,0,0.735632,2,,,158.4,15,,29.875862,19.334483,79.827586
83851,31/03/2008,0,0,0.817204,2,,,188.2,13,,29.009677,18.893548,74.919355
83851,30/04/2008,0,0,0.566667,4,,,142.8,14,,27.193333,17.166667,80.183333
83851,31/05/2008,0,0,0.741935,2,,,148.7,7,,23.948387,12.925806,75.620968
83851,30/06/2008,0,0,0.677778,2,,,148.4,5,,24.32,13.236667,77.658333
83851,31/07/2008,0,0,0.65914,6.3,,,212.6,1,,26.416129,11.483871,67.395161
83851,31/08/2008,0,0,0.849462,3,,,166.8,7,,26.396774,14.122581,71.733871
83851,30/09/2008,0,18,1.111111,3,,,178.9,6,,26.29,14.166667,68225
83851,31/10/2008,0,0,0.893548,3,,,125.4,12,,28.248387,17.677419,74.741935
83851,30/11/2008,0,18,0.966667,3,,,190,12,,28.26,17.363333,73.791667
83851,31/12/2008,0,18,0.924731,3,,,221.8,12,,29.612903,17.390323,71.540323
83851,31/01/2009,0,18,0.956989,3,,,117.9,17,,28.319355,19.596774,78.620968
83851,28/02/2009,0,0,0.644048,2,,,123.5,17,,30175,20.517857,78.517857
83851,31/03/2009,0,0,0.774194,2,,,175.6,8,,30.567742,20.206452,73.814516
83851,30/04/2009,0,0,0.722222,3,,,198.9,8,,27.353333,16.916667,76.491667
83851,31/05/2009,0,0,0.666667,2,,,170.4,8,,26.203226,15.283871,78.790323
83851,30/06/2009,0,0,0.588889,3,,,170.1,6,,22.456667,11.393333,79.891667
83851,31/07/2009,0,0,0.527192,3,,,110.4,14,,22.754839,13.36129,83.137097
83851,31/08/2009,0,0,0.860215,3,,,187.5,5,,25.687097,14.1,71.483871
83851,30/09/2009,0,0,0.811111,3,,,103.7,15,,26.29,16.666667,78.158333
83851,31/10/2009,0,18,1.096774,3,,,104,12,,27.409677,17.183871,74.814516
83851,30/11/2009,0,0,0.966667,3,,,100.9,16,,31.28,20.503333,74.033333
83851,31/12/2009,0,0,0.88172,3,,,79.3,20,,29.174194,19.741935,77.903226
83851,31/01/2010,0,0,0.688172,3,,,112.1,25,,29.474194,20.670968,81.177419
83851,28/02/2010,0,0,0.97619,3,,,184.9,8,,31.667857,21.25,69375
83851,31/03/2010,0,0,0.795699,3,,,196.3,11,,30.064516,19.787097,74.580645
83851,30/04/2010,0,18,0.822222,2,,,176.5,7,,27.506667,17.583333,73.891667
83851,31/05/2010,0,0,0.677419,2,,,184.7,6,,24.996774,14.580645,75.66129
83851,30/06/2010,0,0,0.788889,4,,,176.1,3,,24.56,12.066667,72.208333
83851,31/07/2010,0,0,0.827957,3,,,219.1,5,,25.85,14.251613,71.258065
83851,31/08/2010,0,0,0.827957,3,,,255.3,1,,26.203226,12.287097,62.75
83851,30/09/2010,0,0,1.066667,3,,,193.7,10,,27.863333,16.01,66.683333
83851,31/10/2010,0,14,1.08172,4,,,193.9,12,,27,15.66129,71.225806
83851,30/11/2010,0,14,1.077778,2,,,198.9,6,,29.44,17.993333,68125
83851,31/12/2010,0,0,0.903226,4,,,179.1,17,,29.790323,19.874194,76.290323
83851,31/01/2011,0,0,0.741935,2,,,185.6,20,,30.693548,20.970968,77.854839
83851,28/02/2011,0,0,0.75,2,,,165.1,12,,31.442857,20.996429,73.276786
83851,31/03/2011,0,18,1.16129,3,,,125,13,,27.816129,20.251613,76.096774
83851,30/04/2011,0,0,0.822222,3,,,203.7,9,,28.233333,18.053333,75.591667
83851,31/05/2011,0,18,0.817204,2,,,211.5,3,,24.687097,13.641935,74.314516
83851,30/06/2011,0,0,0.7,3,,,190.4,5,,23.023333,10.756667,76.75
83851,31/07/2011,0,0,0.752688,3,,,182.7,6,,25.183871,13.2,72.620968
83851,31/08/2011,0,0,1.043011,3,,,192,6,,26.151613,13.987097,68.814516
83851,30/09/2011,0,18,1.233333,3,,,252.3,1,,28.263333,13.793333,63.558333
83851,31/10/2011,0,18,1.183871,3,,,194.8,13,,27.758065,17.480645,71.185484
83851,30/11/2011,0,18,1.145556,3,,,223.2,7,,28.136667,16.576667,68.758333
83851,31/12/2011,0,18,1.107527,4,,,219.9,16,,29.364516,18.767742,68.653226
83851,31/01/2012,0,0,0.763441,2,,,165.6,23,,28.280645,18.316129,76.024194
83851,29/02/2012,0,0,0.827586,3,,,206.2,12,,31.837931,20.851724,69.525862
83851,31/03/2012,0,14,1.075269,4,,,236.4,6,,30.554839,19.074194,69.201613
83851,30/04/2012,0,0,0.911111,3,,,182.4,9,,28.443333,18.356667,75.758333
83851,31/05/2012,0,0,0.784946,3,,,214.2,7,,24.758065,14.793548,76.129032
83851,30/06/2012,0,0,0.544444,3,,,140.9,12,,23.61,14.516667,83.543103
83851,31/07/2012,0,0,0.806452,3,,,206,6,,24.180645,12.674194,75.677419
83851,31/08/2012,0,0,0.731183,2,,,261.4,0,,27.267742,13.948387,66.491935
83851,30/09/2012,0,0,1.111111,3,,,225.6,6,,28.606667,15.863333,65.183333
83851,31/10/2012,0,0,1.032879,4,,,218.9,9,,31.06129,18.593548,66.096774
83851,30/11/2012,0,18,1.233333,3,,,205.5,8,,28.71,18.236667,69.791667
83851,31/12/2012,0,36,1,3,,,187.7,14,,31.33871,21.503226,74.209677
83851,31/01/2013,0,18,1.107527,3,,,145,15,,28.13871,19.580645,78.354839
83851,28/02/2013,0,0,0.869048,5,,,174.1,14,,30.496429,20.546429,73.821429
83851,31/03/2013,0,18,1.021505,3,,,165.5,,,28.709677,19.580645,76.709677
83851,30/04/2013,0,0,0.79,3,,,195.5,,,26.926667,17.026667,74.691667
83851,31/05/2013,0,0,0.569892,3,,,170.5,,,25.270968,15.119355,76.370968
83851,30/06/2013,0,0,0.411111,2,,,126.8,,,23.936667,14.57,82.516667
83851,31/07/2013,0,0,0.903226,3,,,193.7,,,23.609677,12.38,77.66129
83851,31/08/2013,0,0,1,4,,,228.5,,,26.383871,12.322581,68.217742
83851,30/09/2013,0,0,0.95082,3,,,181.2,,,27.06,15.32,71.983333
83851,31/10/2013,0,18,1.108696,4,,,195.6,,,27.258065,17.196774,69.354839
83851,30/11/2013,0,14,1.133333,3,,,177,,,29,18.693333,70.083333
83851,31/12/2013,0,18,1.043011,3,,,223,,,30.970968,20.141935,68.201613
83851,31/01/2014,0,14,0.793651,2,,,246.3,,,33.132258,21.025806,73.491935
83851,28/02/2014,0,36,0.928571,4,,,196.7,,,33.117857,21.978571,62.303571
83851,31/03/2014,0,0,0.935484,3,,,196.9,,,29.970968,20.303226,73.209677
83851,30/04/2014,0,0,0.744444,2,,,190.3,,,27.956667,17.986667,73.958333
83851,31/05/2014,0,0,0.709677,4,,,158.1,,,25.329032,15.177419,74.556452
83851,30/06/2014,0,0,0.722222,2,,,159,,,25.296667,14.27,74.558333
83851,31/07/2014,0,0,0.634409,3,,,161.9,,,24.174194,13.190323,72.669355
83851,31/08/2014,0,0,0.795699,3,,,232.8,,,27.290323,13.280645,65.403226
83851,30/09/2014,0,9,1.132222,4,,,197.3,,,28.523333,16.5,68275
83851,31/10/2014,0,18,1.301075,5,,,251.7,,,30.693548,18,64.185484
83851,30/11/2014,0,9,0.977778,3,,,171.1,,,29.083333,18.823333,70.783333
83851,31/12/2014,0,0,0.838235,3,,,186.8,,,29.965517,20.024138,75.321429
83851,31/01/2015,0,0,0.870968,3,,,241.5,,,32.583871,21.758065,76.516129
83851,28/02/2015,0,,0.587203,1.02888,,,,,,,,
83851,31/03/2015,0,,0.441176,3,,,,,,28.866667,19.366667,82.777778
83851,30/04/2015,0,,0.906977,2,,,,,,27.366667,17.490909,76.761905
83851,31/05/2015,0,0,0.451613,2,,,153.7,,,24.583871,15.832258,83.516129
83851,30/06/2015,0,14,1.041667,4,,,190.3,,,25.043333,14.226667,77.033333
83851,31/07/2015,0,0,0.403226,3,,,157.3,,,24.058065,14.077419,83.516129
83851,31/08/2015,0,0,0.62963,3,,,213.6,,,28.211111,14.714815,70.666667
83851,30/09/2015,0,0,0.95082,3,,,150.5,,,27.211538,16816,75375
83851,31/10/2015,0,9,1.258065,6,,,208.1,,,29.864516,19.06129,69.508065
83851,30/11/2015,0,0,0.733333,3,,,123.1,,,28.67,20.123333,82.041667
83851,31/12/2015,0,9,1.236559,4,,,142.6,,,30.029032,20.922581,77.080645
83851,31/01/2016,0,14,1.095238,3,,,168.1,,,29.413793,20.37,77.446429
83851,29/02/2016,0,0,0.743243,3,,,172.4,,,31.272414,21.265517,77.767241
83851,31/03/2016,0,0,0.946237,5,,,193,,,30.312903,20.251613,76.645161
83851,30/04/2016,0,0,0.722222,3,,,240.4,,,30.896667,19.263333,68.991667
83851,31/05/2016,0,0,0.852688,3,,,160.1,,,24.441935,15.132258,77.467742
83851,30/06/2016,0,0,0.755556,3,,,174.4,,,22.876667,11525,79325
83851,31/07/2016,0,,0.659091,4,,,,,,27.3125,13,69.734375
83851,31/08/2016,0,0,0.758065,2,,,216,,,26.151613,13.354839,77.387097
83851,30/09/2016,0,9,1.218182,4,,,158,,,26596,14916,75.460526
83851,31/10/2016,0,14,1.225806,4,,,230.4,,,28.390323,17.493548,70.33871
83851,30/11/2016,0,9,1.3,3,,,186.6,,,28.51,18.07,72.558333
83851,31/12/2016,0,36,1.172159,3.08664,,,211.4,,,30.990323,19.412903,72.822581
83851,31/01/2017,0,0,0.65,3,,,129.1,,,29.91,20.945161,84.383333
83851,28/02/2017,0,0,0.877193,3,,,,,,32.028571,20635,71.833333
83851,31/03/2017,0,0,0.755102,2,,,159.2,,,29.233333,19368,76.5
83851,31/05/2017,0,0,0.241935,1,,,177.1,,,25.216129,15.858065,85.709677
83851,30/06/2017,0,0,0.471698,2,,,155.4,,,24.292593,14.47037,83.592593
83851,31/07/2017,0,0,0.491803,2,,,225.2,,,24.545161,11.980645,75.451613
83851,31/08/2017,0,0,0.629032,2,,,194.3,,,25.53871,13.954839,75.806452
83851,30/09/2017,0,0,0.75,3,,,266.7,,,30.82,16.24,63.75
83851,31/10/2017,0,0,0.775806,3,,,185.8,,,28.980645,18.112903,74.870968
83851,30/11/2017,0,9,0.85,2,,,199.3,,,29.386667,17.58,73.8
83851,31/12/2017,0,0,0.77551,2,,,167.6,,,30975,19.283333,76.75
83851,31/01/2018,0,0,0.701754,2,,,130.9,,,30.665517,20.203448,80.551724
83851,28/02/2018,0,14,0.821429,2,,,185.9,,,30.35,19.196429,74.464286
83851,31/03/2018,0,0,0.459016,2,,,204.7,,,32.678261,20.406452,80.870968
83851,30/04/2018,0,,0.517241,1,,,,,,,,
83851,31/05/2018,0,0,0.561404,2,,,208.4,,,26.958621,14.848276,75.928571
83851,30/06/2018,0,0,0.362069,1,,,137.2,,,25.613793,14.3,77.357143
83851,31/07/2018,0,0,0.321429,2,,,201.9,,,26.8,13.053571,73.678571
83851,31/08/2018,0,0,0.387097,1,,,186.7,,,24.670968,13.183871,77.548387
83851,30/09/2018,0,0,0.516667,2,,,186.7,,,27.883333,15.38,77
83851,31/10/2018,0,0,0.677419,2,,,167.2,,,27.580645,18.370968,79.548387
83851,30/11/2018,0,,725,2,,,,,,28.91,18.2,76.722222
83851,31/12/2018,0,,0.756098,2,,,,,,32.563158,19.914286,70.421053
83851,28/02/2019,0,0,0.553571,2,,,136.6,,,29.835714,19.757143,78.321429
83851,31/03/2019,0,0,0.488372,1,,,,,,29.828571,19.345455,81.047619
83851,30/04/2019,0,0,0.466667,1,,,196.5,,,29.383333,18.56,81.3
83851,31/05/2019,0,0,0.383333,2,,,157.9,,,26.706667,16.755172,83.233333
83851,30/06/2019,0,,,1,,,,,,26.8,15.444444,79.941176
83851,31/07/2019,0,0,0.315789,1,,,191.3,,,24.541379,11575,78.964286
83851,31/08/2019,0,,0.724138,2,,,,,,,13.673333,
83851,30/09/2019,0,0,0.621013,2.05776,,,,,,29,16432,72.913043
83784,31/01/2000,0,36,2.003226,5.8,,,181.3,11,944.704301,30.632258,19.219355,77.629032
83784,29/02/2000,0,5,1.952874,8.3,,,134.1,14,947.596552,30.244828,19.248276,79.698276
83784,31/03/2000,0,14,1.909677,5,,,129.5,17,948.086022,29.419355,18.558065,80.217742
83784,30/04/2000,0,14,1.673333,6.6,,,216,3,950.294444,28.526667,15.406667,77.3
83784,31/05/2000,0,23,1.594624,6.6,,,203.5,3,950.524731,25.974194,12.109677,76.169355
83784,30/06/2000,0,23,1.56,6.6,,,210.2,2,951.898889,26.326667,10.38,74.158333
83784,31/07/2000,0,18,1.609677,6.6,,,181.1,4,951.995699,23.741935,9.587097,75.887097
83784,31/08/2000,0,5,2.001075,5,,,176,7,951.888172,25.23871,11.735484,74.645161
83784,30/09/2000,0,36,2.27,6.6,,,141.3,7,951.474444,25.86,14.846667,77.391667
83784,31/10/2000,0,14,2.035484,5,,,196.5,8,949.030108,30.922581,17.754839,72.693548
83784,30/11/2000,0,36,2.225556,9.3,,,143.1,11,946.478889,29.393333,17.92,77.65
83784,31/12/2000,0,36,1.775269,4.6,,,156.3,20,945.319355,29.890323,19,79.112903
83784,31/01/2001,0,36,2.017204,7.6,,,208.2,12,948.139785,30.362963,18.386667,76.548387
83784,28/02/2001,0,36,1.646429,8.3,,,168.1,12,947.171429,,19375,80.160714
83784,31/03/2001,0,5,1.516129,5.1,,,203.7,16,948.055914,31.387097,18.922581,78.66129
83784,30/04/2001,0,5,1.547191,5,,,224.5,6,950.483333,30.313333,15.896667,75.958333
83784,31/05/2001,0,23,1.811828,7.6,,,153.4,8,950.027957,25.325806,13.541935,79.798387
83784,30/06/2001,0,18,1.583333,5.6,,,175.2,2,953.254444,25.29,11.723333,78.416667
83784,31/07/2001,0,23,1.596774,7,,,191.1,6,952.92043,25.929032,10.348387,76.395161
83784,31/08/2001,0,36,1.715054,4.6,,,229.1,8,955.167742,27.467742,11.803226,72.395161
83784,30/09/2001,0,36,2.103333,5,,,158.2,10,950.94,26.473333,13.746667,74.85
83784,31/10/2001,0,36,2.408602,8.6,,,202.3,9,948.694624,28.93871,15.341935,72.580645
83784,30/11/2001,0,5,2.036667,7.6,,,162.7,17,946.517778,30.02,17.973333,77.391667
83784,31/12/2001,0,36,1.98172,6.6,,,140.9,20,946.198925,29.629032,18.677419,78.395161
83784,31/01/2002,0,36,1.655914,5,,,115.4,23,946.778495,29.819355,19.5,81.040323
83784,28/02/2002,0,14,1.478571,4.6,,,113.6,21,947.82619,29.214286,18.735714,81.866071
83784,31/03/2002,0,5,1.590323,4.3,,,213,12,948.509677,32.125806,18.751613,75.870968
83784,30/04/2002,0,14,1.523333,4.3,,,230,3,949.32,30.733333,17.14,75.958333
83784,31/05/2002,0,14,1.388172,4.6,,,182.4,10,950.754839,26.625806,14.890323,81.016129
83784,30/06/2002,0,23,1.124926,3.8,,,198.5,1,953.682222,27.26,12.37,79.65
83784,31/07/2002,0,23,1.646714,5.1444,,,178.1,2,953.334409,25.112903,11.074194,76.169355
83784,31/08/2002,0,5,1.734719,6.6,,,231.5,8,952.294624,28.86129,13.716129,72.314516
83784,30/09/2002,0,5,1.998889,8,,,146.6,11,950.808889,26.22,14.158621,74.5
83784,31/10/2002,0,5,1.813978,4.3,,,193.3,7,947.767742,33.193548,17.083871,65.112903
83784,30/11/2002,0,5,1.706742,5,,,148.2,17,948.126667,30.406667,17.8,76.083333
83784,31/12/2002,0,5,1.847312,5,,,169.2,20,946.896774,31.674194,19.212903,76.104839
83784,31/01/2003,0,14,1.504301,5,149.646604,149.646604,114.9,25,946.273118,30.435484,19.912903,82.846774
83784,28/02/2003,0,5,1.530952,4.5,135.96595,135.96595,228.8,10,948.304762,33.707143,19.367857,71.803571
83784,31/03/2003,0,5,1.358242,6.1,135.011688,135.011688,131.7,17,948.748387,29.822581,18.625806,80.604839
83784,30/04/2003,0,14,1.4,4,119.525682,34.222362,179.4,7,950.386667,28.86,16.3,78.641667
83784,31/05/2003,0,23,1.533333,6.3,107.221679,29.5,203.9,4,951.790323,25.590323,11.36129,78.564516
83784,30/06/2003,0,23,1.261227,4.11552,107.694392,1.3,206.2,1,951.951111,26.96,12.26,77.333333
83784,31/07/2003,0,18,1.390633,5.1,106.553842,2.3,201.9,2,954.521505,25.93871,10.106452,74.483871
83784,31/08/2003,0,23,1.695699,7,107.577549,24.1,170,5,953.316129,25.403226,10.548387,73.064516
83784,30/09/2003,0,14,2.104444,5,,,129.5,6,951.645556,28.186667,14.173333,70.191667
83784,31/10/2003,0,5,2.107527,5.6,,,128.1,11,949.738043,29.312903,16.058065,73.169355
83784,30/11/2003,0,36,1.884444,5.6,,,114.9,15,947.438889,29.753333,17.55,77.25
83784,31/12/2003,0,36,2.05914,5.8,,,155.9,16,947.415054,30.880645,18.96129,76.991935
83784,31/01/2004,0,36,1.828571,6,,,142.2,17,946.125806,29.351613,18.741935,80.645161
83784,29/02/2004,0,14,1.390805,7.3,,,133.2,21,947.945977,29.3,17.986207,81.181034
83784,31/03/2004,0,0,1.175269,6.2,,,151.8,14,948.633333,28.512903,16.832258,80.637097
83784,30/04/2004,0,0,1.14,6.6,,,151.4,13,,28.126667,17.24,83325
83784,31/05/2004,0,18,1.309677,6,,,122.5,12,,23.858065,13.535484,84.08871
83784,30/06/2004,0,18,1.182222,6.6,,,167.3,8,,23.733333,11.36,84.308333
83784,31/07/2004,0,18,1.258065,5.3,,,163.9,8,,22.977419,10.76129,83.177419
83784,31/08/2004,0,18,1.425806,5,,,230.4,2,,26.370968,10.883871,74.967742
83784,30/09/2004,0,5,1.744444,6.6,,,211.4,3,,30.866667,14.986667,68025
83784,31/10/2004,0,36,1.611828,5.7,,,114.3,16,,26.951613,15.632258,78.169355
83784,30/11/2004,0,0,1.237975,6,,,164.6,14,,29.513333,17.433333,74.783333
83784,31/12/2004,0,0,0.952688,3.5,,,162.6,20,,29.641935,18.187097,78.177419
83784,31/01/2005,0,0,0.61828,5,,,126.6,24,,30.096774,19.832258,82.535714
83784,28/02/2005,0,0,0.911864,5.3,,,187.9,11,,30.635714,17.514286,76.919643
83784,31/03/2005,0,,,,,,140.6,12,,30.022581,19.070968,80.112903
83784,30/04/2005,0,,,,,,188.1,9,949.994444,29.64,18.136667,79.3
83784,31/05/2005,0,,,,,,189,5,951.286022,26.725806,13.625806,81.282258
83784,30/06/2005,0,,,,,,201.2,4,953.136667,25.71,11.72,82.366667
83784,31/07/2005,0,,,,,,169.6,8,954.708602,24.209677,10.735484,81.387097
83784,31/08/2005,0,,,,,,241.5,3,952.282796,28.609677,11.632258,72.201613
83784,30/09/2005,0,,,,,,103.9,13,951.776667,25.806667,15.246667,79.983333
83784,31/10/2005,0,,,,,,116.6,14,948.690323,29.919355,18.167742,78.451613
83784,30/11/2005,0,,,,,,133.4,12,947.473333,28.706667,17.006667,77.341667
83784,31/12/2005,0,,,,,,146.5,19,947.06129,29.364516,17.387097,79.524194
83784,28/02/2006,0,,,,,,115.3,21,946.790909,31.057143,19.478571,
83784,31/03/2006,0,,,,,,156.2,16,948.193548,30.216129,18.967742,
83784,30/04/2006,0,,,,,,183.3,6,949.668333,28.286667,16.246667,
83784,31/05/2006,0,,,,106.856699,94.2,159.9,6,952.643548,24.3,12.174194,
83784,30/06/2006,0,,,,101.538438,5.8,193,1,954.756667,24.933333,10.813333,
83784,31/07/2006,0,,,,105.001407,48.2,206.4,4,953.914516,25.945161,9.535484,
83784,31/08/2006,0,,,,115.014854,11.4,206.2,2,952.624194,27.641935,11.96129,
83784,30/09/2006,0,,,,117.422074,94.1,157.5,11,951.918333,27.366667,13.206667,
83784,31/10/2006,0,,,,136.203405,112.6,134.2,11,949.4,28.596774,16.651613,
83784,30/11/2006,0,,,,,,,5,,,,
83784,31/12/2006,0,,,,,,,8,,,,
83784,31/01/2007,0,,,,,,,1,,,,
83784,28/02/2007,0,,,,132.704802,132.704802,197.1,8,948.189091,32.378571,18.885714,
83784,31/03/2007,0,,,,141.500208,132.095198,197.4,10,949.416364,32.757143,18.609524,
83784,30/04/2007,0,,,,125.255408,125.255408,181.5,11,951.041667,28.906897,17.675862,
